"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5158","211 - https://puertovallarta.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:51 IST 2025","passed","Fri Mar 14 18:22:56 IST 2025","","LoadURL.spec.ts","",""
"","4546","195 - https://cancun.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:38 IST 2025","passed","Fri Mar 14 18:22:43 IST 2025","","LoadURL.spec.ts","",""
"","6247","613 - https://florence.shopdutyfree.com/en/","chromium","Fri Mar 14 18:30:10 IST 2025","passed","Fri Mar 14 18:30:16 IST 2025","","LoadURL.spec.ts","",""
"","5674","40 - https://malaga.shopdutyfree.com/es/","chromium","Fri Mar 14 18:19:58 IST 2025","passed","Fri Mar 14 18:20:04 IST 2025","","LoadURL.spec.ts","",""
"","4754","435 - https://norwich.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:12 IST 2025","passed","Fri Mar 14 18:27:16 IST 2025","","LoadURL.spec.ts","",""
"","5873","285 - https://bogota.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:33 IST 2025","passed","Fri Mar 14 18:24:39 IST 2025","","LoadURL.spec.ts","",""
"","5812","41 - https://mallorca.shopdutyfree.com/en/","chromium","Fri Mar 14 18:19:59 IST 2025","passed","Fri Mar 14 18:20:05 IST 2025","","LoadURL.spec.ts","",""
"","5134","205 - https://guadalajara.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:46 IST 2025","passed","Fri Mar 14 18:22:51 IST 2025","","LoadURL.spec.ts","",""
"","6499","184 - https://mazatlan.shopdutyfree.com/es/","chromium","Fri Mar 14 18:22:26 IST 2025","passed","Fri Mar 14 18:22:33 IST 2025","","LoadURL.spec.ts","",""
"","5879","332 - https://tampa.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:32 IST 2025","passed","Fri Mar 14 18:25:37 IST 2025","","LoadURL.spec.ts","",""
"","5245","54 - https://tenerifesur.shopdutyfree.com/es/","chromium","Fri Mar 14 18:20:11 IST 2025","passed","Fri Mar 14 18:20:16 IST 2025","","LoadURL.spec.ts","",""
"","6633","55 - https://tenerifesur.shopdutyfree.com/en/","chromium","Fri Mar 14 18:20:14 IST 2025","passed","Fri Mar 14 18:20:20 IST 2025","","LoadURL.spec.ts","",""
"","5123","416 - https://london-gatwick.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:55 IST 2025","passed","Fri Mar 14 18:27:00 IST 2025","","LoadURL.spec.ts","",""
"","5646","280 - https://lapaz.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:28 IST 2025","passed","Fri Mar 14 18:24:34 IST 2025","","LoadURL.spec.ts","",""
"","6630","544 - https://rabat.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:56 IST 2025","passed","Fri Mar 14 18:29:03 IST 2025","","LoadURL.spec.ts","",""
"","6514","498 - https://natal.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:14 IST 2025","passed","Fri Mar 14 18:28:20 IST 2025","","LoadURL.spec.ts","",""
"","4355","235 - https://mexicocity.shopdutyfree.com/en/","chromium","Fri Mar 14 18:23:17 IST 2025","passed","Fri Mar 14 18:23:22 IST 2025","","LoadURL.spec.ts","",""
"","5146","260 - https://puertoplata.shopdutyfree.com/es/","chromium","Fri Mar 14 18:24:08 IST 2025","passed","Fri Mar 14 18:24:13 IST 2025","","LoadURL.spec.ts","",""
"","4407","521 - https://brasil.shopdutyfree.com/pt/","chromium","Fri Mar 14 18:28:36 IST 2025","passed","Fri Mar 14 18:28:40 IST 2025","","LoadURL.spec.ts","",""
"","6185","170 - https://bengaluru.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:11 IST 2025","passed","Fri Mar 14 18:22:17 IST 2025","","LoadURL.spec.ts","",""
"","5206","515 - https://natal.shopdutyfree.com/pt/","chromium","Fri Mar 14 18:28:30 IST 2025","passed","Fri Mar 14 18:28:36 IST 2025","","LoadURL.spec.ts","",""
"","7106","355 - https://toronto.shopdutyfree.com/zh/","chromium","Fri Mar 14 18:25:52 IST 2025","passed","Fri Mar 14 18:25:59 IST 2025","","LoadURL.spec.ts","",""
"","5321","154 - https://stpetersburg.shopdutyfree.com/ru/","chromium","Fri Mar 14 18:21:50 IST 2025","passed","Fri Mar 14 18:21:55 IST 2025","","LoadURL.spec.ts","",""
"","7682","590 - https://kefalonia.shopdutyfree.com/el/","chromium","Fri Mar 14 18:29:43 IST 2025","passed","Fri Mar 14 18:29:50 IST 2025","","LoadURL.spec.ts","",""
"","4413","430 - https://manchester.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:10 IST 2025","passed","Fri Mar 14 18:27:14 IST 2025","","LoadURL.spec.ts","",""
"","5702","84 - https://malmo.shopdutyfree.com/sv/","chromium","Fri Mar 14 18:20:43 IST 2025","passed","Fri Mar 14 18:20:49 IST 2025","","LoadURL.spec.ts","",""
"","5470","588 - https://mykonos.shopdutyfree.com/el/","chromium","Fri Mar 14 18:29:40 IST 2025","passed","Fri Mar 14 18:29:46 IST 2025","","LoadURL.spec.ts","",""
"","6195","491 - https://campinas.shopdutyfree.com/pt/","chromium","Fri Mar 14 18:28:08 IST 2025","passed","Fri Mar 14 18:28:14 IST 2025","","LoadURL.spec.ts","",""
"","5004","87 - https://stockholm.shopdutyfree.com/en/","chromium","Fri Mar 14 18:20:44 IST 2025","passed","Fri Mar 14 18:20:49 IST 2025","","LoadURL.spec.ts","",""
